codigo_ocorrencia;codigo_ocorrencia2;ocorrencia_classificacao;ocorrencia_cidade;ocorrencia_uf;ocorrencia_aerodromo;ocorrencia_dia;ocorrencia_hora;total_recomendacoes
50753;50753;ACIDENTE;JUNDIAÍ;SP;SBJD;16/03/2014;16:30:00;0
51024;51024;INCIDENTE;-43.7136111111;VALENÇA;BRASIL;SNVB;16/03/2014;2015-05-15
51025;51025;INCIDENTE;\t-51.13666667\t;LONDRINA;BRASIL;SBLO;17/03/2014;2015-05-15
51026;51026;INCIDENTE;***;CURITIBA;BRASIL;SBBI;17/03/2014;2015-02-09
50972;50972;ACIDENTE;JACAREACANGA;PA;****;18/03/2014;15:50:00;1
51079;51079;INCIDENTE;COARI;AM;****;18/03/2014;18:45:00;0
51308;51308;INCIDENTE;RIO;DE;RJ;BRASIL;SBGL;NÃO
51309;51309;INCIDENTE;FORTALEZA;CE;SBFZ;18/03/2014;12:35:00;0
51310;51310;INCIDENTE;TEFÉ;AM;SBTF;20/03/2014;13:41:00;0
51314;51314;INCIDENTE;BELO;HORIZONTE;BRASIL;SBBH;21/03/2014;NULL
51315;51315;INCIDENTE;RIO;DE;RJ;BRASIL;SBJR;NÃO
51080;51080;INCIDENTE;RIO;DE;RJ;BRASIL;SBJR;NÃO
51317;51317;INCIDENTE;BOTUCATU;SP;SDBK;22/03/2014;19:50:00;0
51455;51455;INCIDENTE;BARRA;DO;RJ;BRASIL;****;NÃO
50992;50992;ACIDENTE;RIBEIRÃO;PRETO;BRASIL;****;23/03/2014;2018-09-04
50993;50993;ACIDENTE;PASSO;FUNDO;BRASIL;****;23/03/2014;2015-03-05
51318;51318;INCIDENTE;UBERABA;MG;SBUR;23/03/2014;15:49:00;0
50994;50994;ACIDENTE;HUMBERTO;DE;MA;BRASIL;****;SIM
51319;51319;INCIDENTE;BELÉM;PA;SBBE;24/03/2014;18:30:00;0
51320;51320;INCIDENTE;ANÁPOLIS;GO;****;24/03/2014;18:45:00;0
51081;51081;INCIDENTE;MACAÉ;RJ;****;25/03/2014;20:00:00;0
51321;51321;INCIDENTE;CAMPO;GRANDE;BRASIL;SBCG;25/03/2014;NULL
50995;50995;ACIDENTE;POTIRENDABA;SP;****;26/03/2014;21:20:00;1
50996;50996;ACIDENTE;DOM;PEDRITO;BRASIL;****;26/03/2014;2016-03-18
51322;51322;INCIDENTE;SALVADOR;BA;****;26/03/2014;13:58:00;0
50923;50923;INCIDENTE;FORTALEZA;CE;SBFZ;28/03/2014;19:19:00;0
50998;50998;ACIDENTE;SANTA;RITA;ARAGUAIA;GO;BRASIL;A-065/CENIPA/2014
50999;50999;ACIDENTE;BRASÍLIA;DF;SBBR;28/03/2014;20:42:00;0
51000;51000;ACIDENTE;BRAGANÇA;PAULISTA;BRASIL;SBBP;29/03/2014;2017-11-30
51323;51323;INCIDENTE;CAMPO;GRANDE;BRASIL;SBCG;30/03/2014;NULL
51324;51324;INCIDENTE;CAMPINAS;SP;SBKP;30/03/2014;22:54:00;0
51325;51325;INCIDENTE;CURITIBA;PR;SBBI;03/04/2014;22:23:00;0
50974;50974;ACIDENTE;CORGUINHO;MS;SSKG;04/04/2014;12:00:00;0
51326;51326;INCIDENTE;GUARULHOS;SP;****;04/04/2014;06:25:00;0
51327;51327;INCIDENTE;UBERLÂNDIA;MG;SBUL;05/04/2014;11:32:00;0
50919;50919;ACIDENTE;CAMPO;BONITO;BRASIL;****;06/04/2014;2014-10-14
51001;51001;ACIDENTE;ARIPUANÃ;MT;****;06/04/2014;11:30:00;0
50973;50973;ACIDENTE;ARAPONGAS;PR;SSOG;07/04/2014;14:35:00;0
51328;51328;INCIDENTE;PORTO;VELHO;BRASIL;SBPV;07/04/2014;NULL
51330;51330;INCIDENTE;CABO;FRIO;BRASIL;****;07/04/2014;NULL
51336;51336;INCIDENTE;BELO;HORIZONTE;BRASIL;SBBH;08/04/2014;NULL
50918;50918;ACIDENTE;AMERICANA;SP;SDAI;09/04/2014;14:40:00;0
50921;50921;INCIDENTE;SANTANA;DO;MG;BRASIL;SBIP;NÃO
50922;50922;INCIDENTE;FOZ;DO;PR;BRASIL;SBFI;NÃO
50985;50985;ACIDENTE;PATOS;DE;MG;BRASIL;****;SIM
51027;51027;INCIDENTE;-46.4730555556;GUARULHOS;BRASIL;SBGR;09/04/2014;2015-04-24
51031;51031;INCIDENTE;-48.78;MIRANORTE;BRASIL;****;09/04/2014;2014-11-18
51337;51337;INCIDENTE;BELO;HORIZONTE;BRASIL;SBBH;10/04/2014;NULL
51338;51338;INCIDENTE;SALVADOR;BA;SBSV;10/04/2014;11:30:00;0
51082;51082;INCIDENTE;RIO;DE;RJ;BRASIL;SBGL;NÃO
51013;51013;ACIDENTE;EDÉIA;GO;****;12/04/2014;19:30:00;0
51083;51083;INCIDENTE;GOIÂNIA;GO;SBGO;12/04/2014;15:59:00;2018-03-09
51339;51339;INCIDENTE;JOINVILLE;SC;SBJV;13/04/2014;15:19:00;0
51340;51340;INCIDENTE;VÁRZEA;GRANDE;BRASIL;SBCY;14/04/2014;NULL
51002;51002;ACIDENTE;RIO;GRANDE;BRASIL;SJRG;15/04/2014;2015-04-24
51341;51341;INCIDENTE;BELÉM;PA;SBJC;15/04/2014;20:53:00;0
51003;51003;ACIDENTE;IRANDUBA;AM;****;16/04/2014;20:40:00;0
51018;51018;INCIDENTE;***;RIO;JANEIRO;RJ;BRASIL;NULL
51342;51342;INCIDENTE;SÃO;JOSÉ;PINHAIS;PR;BRASIL;***
51391;51391;ACIDENTE;CURITIBA;PR;SBBI;17/04/2014;15:35:00;0
51441;51441;INCIDENTE;-46.9827777778;PATROCÍNIO;BRASIL;SNPJ;17/04/2014;2014-10-01
51084;51084;INCIDENTE;GUARULHOS;SP;SBGR;19/04/2014;14:41:00;0
51343;51343;INCIDENTE;SÃO;PAULO;BRASIL;SBMT;19/04/2014;NULL
51032;51032;INCIDENTE;-37.0783333333;CAICÓ;BRASIL;SNKK;20/04/2014;2015-07-21
51004;51004;ACIDENTE;SÃO;DESIDÉRIO;BRASIL;****;22/04/2014;2015-04-24
51005;51005;ACIDENTE;DOM;PEDRITO;BRASIL;****;22/04/2014;2015-03-05
51344;51344;INCIDENTE;CONFINS;MG;SBCF;22/04/2014;12:30:00;0
51006;51006;ACIDENTE;TAQUARUSSU;MS;****;23/04/2014;12:30:00;0
51007;51007;ACIDENTE;SOROCABA;SP;SDCO;24/04/2014;18:55:00;0
51008;51008;ACIDENTE;AMERICANA;SP;SDAI;24/04/2014;17:00:00;0
51456;51456;INCIDENTE;FOZ;DO;PR;BRASIL;SBFI;NÃO
51086;51086;INCIDENTE;FORTALEZA;CE;SBFZ;26/04/2014;08:23:00;0
51442;51442;INCIDENTE;-39.5977777778;OROCÓ;BRASIL;****;26/04/2014;2018-04-05
51457;51457;INCIDENTE;CAMPINAS;SP;SBKP;26/04/2014;21:44:00;0
51393;51393;ACIDENTE;PEDRA;PRETA;BRASIL;****;27/04/2014;2015-05-15
80059;80059;INCIDENTE;IVINHEMA;MS;*****;27/04/2014;11:30:00;0
51345;51345;INCIDENTE;FLORIANÓPOLIS;SC;SBFL;29/04/2014;11:20:00;0
51346;51346;INCIDENTE;SOROCABA;SP;SDCO;29/04/2014;18:50:00;0
51009;51009;ACIDENTE;ITAITUBA;PA;****;30/04/2014;22:15:00;0
51033;51033;INCIDENTE;-44.617222;CORRENTINA;BRASIL;SNTY;30/04/2014;2015-02-09
51458;51458;INCIDENTE;SÃO;JOSÉ;PINHAIS;PR;BRASIL;***
51443;51443;INCIDENTE;-46.785556;ITANHAÉM;BRASIL;SDIM;01/05/2014;2019-03-16
51010;51010;ACIDENTE;LUZIÂNIA;GO;SWUZ;02/05/2014;19:00:00;6
51011;51011;ACIDENTE;AQUIRAZ;CE;****;03/05/2014;15:30:00;2
51437;51437;INCIDENTE;***;TAUBATÉ;BRASIL;****;03/05/2014;NULL
51444;51444;INCIDENTE;-49.138333;MARABÁ;BRASIL;SBMA;03/05/2014;2017-02-06
51347;51347;INCIDENTE;DIADEMA;SP;****;04/05/2014;16:00:00;0
51569;51569;INCIDENTE;SÃO;JOSÉ;CAMPOS;SP;BRASIL;***
51459;51459;INCIDENTE;PORTO;ALEGRE;BRASIL;SBPA;05/05/2014;NULL
51460;51460;INCIDENTE;BRASÍLIA;DF;SBBR;07/05/2014;20:09:00;0
51417;51417;INCIDENTE;***;SÃO;SP;BRASIL;SBMT;NÃO
51461;51461;INCIDENTE;BELO;HORIZONTE;BRASIL;SBBH;08/05/2014;NULL
51445;51445;INCIDENTE;\t-52.815556\t;CARAZINHO;BRASIL;SSKZ;09/05/2014;2015-03-06
51446;51446;INCIDENTE;-51.7752777778;JATAÍ;BRASIL;SWJW;09/05/2014;2015-04-30
51451;51451;INCIDENTE;ALTAMIRA;PA;SBHT;09/05/2014;12:49:00;0
51462;51462;INCIDENTE;RIO;DE;RJ;BRASIL;SBJR;NÃO
51463;51463;INCIDENTE;GOIÂNIA;GO;SBGO;09/05/2014;17:50:00;0
51394;51394;ACIDENTE;FOZ;DO;PR;BRASIL;****;SIM
51412;51412;ACIDENTE;CACHOEIRA;DO;RS;BRASIL;****;SIM
51464;51464;INCIDENTE;BARREIRAS;BA;SNBR;10/05/2014;13:40:00;0
51465;51465;INCIDENTE;RECIFE;PE;SBRF;12/05/2014;02:00:00;0
51448;51448;INCIDENTE;-45345;SANTA;MA;BRASIL;SJBY;SIM
51449;51449;INCIDENTE;-55.5861111111;SINOP;BRASIL;SWSI;13/05/2014;2018-04-05
51471;51471;INCIDENTE;SANTARÉM;PA;SBSN;13/05/2014;11:43:00;0
51452;51452;INCIDENTE;ARACAJU;SE;SBAR;14/05/2014;15:34:00;0
51472;51472;INCIDENTE;SÃO;PAULO;BRASIL;SBMT;14/05/2014;NULL
51473;51473;INCIDENTE;FORTALEZA;CE;SBFZ;14/05/2014;11:15:00;0
51474;51474;INCIDENTE;RIO;DE;RJ;BRASIL;SBJR;NÃO
51475;51475;INCIDENTE;TABATINGA;AM;SBTT;16/05/2014;15:05:00;0
51477;51477;INCIDENTE;SANTARÉM;PA;SBSN;16/05/2014;12:10:00;0
51453;51453;INCIDENTE;SÃO;JOSÉ;RIO;PRETO;SP;FINALIZADA
51478;51478;INCIDENTE;JUNDIAÍ;SP;SBJD;17/05/2014;18:42:00;0
51479;51479;INCIDENTE;LONDRINA;PR;SBLO;18/05/2014;20:46:00;0
51436;51436;ACIDENTE;BRASÍLIA;DF;****;19/05/2014;18:00:00;0
51413;51413;ACIDENTE;ITAMARAJU;BA;****;21/05/2014;18:00:00;0
51480;51480;INCIDENTE;BELO;HORIZONTE;BRASIL;SBBH;21/05/2014;NULL
51541;51541;INCIDENTE;MANAUS;AM;SBEG;21/05/2014;15:20:00;0
51454;51454;INCIDENTE;PALMAS;TO;****;22/05/2014;04:13:00;0
51481;51481;INCIDENTE;ANÁPOLIS;GO;SBAN;27/05/2014;11:55:00;0
51438;51438;INCIDENTE;***;CAMPINAS;BRASIL;SDAM;28/05/2014;NULL
51482;51482;INCIDENTE;SÃO;JOSÉ;CAMPOS;SP;BRASIL;***
51542;51542;INCIDENTE;RIO;DE;RJ;BRASIL;SBJR;NÃO
51414;51414;ACIDENTE;COARI;AM;SBUY;30/05/2014;02:16:00;6
51535;51535;ACIDENTE;SCHROEDER;SC;****;31/05/2014;17:46:00;0
